WallTime,Step,Value
1649017262.5021226,39588,0.0
1649017269.1089823,39601,0.0
1649017327.564654,39712,1.0
1649017380.281193,39811,1.0
1649017452.1602695,39949,4.0
1649017481.0290608,40003,2.0
1649017494.758758,40030,0.0
1649017504.9263158,40050,0.0
1649017536.1747012,40110,0.0
1649017570.6432376,40174,2.0
1649017571.1519744,40175,2.0
1649017580.8312294,40194,0.0
1649017602.4942098,40236,1.0
1649017609.1050436,40249,1.0
1649017628.0218215,40285,0.0
1649017649.295842,40326,1.0
1649017652.3466318,40332,1.0
1649017671.1686,40368,1.0
1649017696.1190531,40416,3.0
1649017755.5006247,40522,1.0
1649017764.768833,40540,1.0
1649017792.3094728,40593,1.0
1649017804.801089,40617,1.0
1649017897.237989,40793,0.0
1649017901.626647,40801,0.0
1649017926.5435038,40849,2.0
1649017944.2852924,40883,1.0
1649017965.2987885,40921,0.0
1649017976.265395,40942,0.0
1649018030.6994827,41043,2.0
1649018045.6686764,41070,0.0
1649018047.1942077,41073,0.0
1649018049.2270827,41077,0.0
1649018079.5707533,41132,0.0
1649018080.0788786,41133,0.0
1649018147.31756,41263,0.0
1649018162.1497056,41291,0.0
1649018207.0420492,41374,3.0
1649018258.0729806,41473,2.0
1649018292.8332994,41536,2.0
1649018295.3927867,41541,2.0
1649018308.1646154,41566,2.0
1649018311.9472885,41573,1.0
1649018319.5650215,41588,1.0
1649018320.5814974,41590,1.0
1649018331.5020807,41610,0.0
1649018354.148272,41654,0.0
1649018361.6905558,41668,0.0
1649018421.3309817,41772,2.0
1649018495.7131052,41912,3.0
1649018520.371231,41960,0.0
1649018524.4398868,41968,0.0
1649018547.725777,42012,0.0
1649018567.891577,42051,0.0
1649018602.1138215,42118,2.0
1649018607.2845728,42128,0.0
1649018608.8067868,42131,0.0
1649018739.447926,42365,1.0
1649018773.635724,42430,0.0
1649018789.7208955,42461,0.0
1649018830.474733,42535,1.0
1649018928.2216446,42721,3.0
1649018952.8184493,42768,0.0
1649018993.7114143,42846,0.0
1649018998.4845872,42855,0.0
1649019005.5971358,42869,0.0
1649019014.7437136,42887,4.0
1649019021.614304,42900,4.0
1649019047.8265052,42951,4.0
1649019059.0154095,42973,4.0
1649019147.5008075,43138,1.0
1649019196.1810794,43231,2.0
1649019197.704816,43234,2.0
1649019229.9477158,43296,0.0
1649019340.357427,43504,1.0
1649019366.8257096,43554,5.0
1649019396.1719182,43611,4.0
1649019486.4058976,43777,0.0
1649019540.352107,43880,1.0
1649019700.6647673,44180,1.0
1649019739.963451,44255,0.0
1649019754.4295251,44283,0.0
1649019788.9018252,44349,2.0
1649019796.0454357,44363,2.0
1649019822.2735324,44413,0.0
1649019850.526477,44463,1.0
1649019855.1066759,44472,1.0
1649019863.0751545,44484,1.0
1649019882.6747248,44522,1.0
1649019936.4074726,44624,2.0
1649019981.71723,44711,0.0
1649019988.323431,44724,0.0
1649019991.9603083,44730,0.0
1649019992.46914,44731,0.0
1649020007.7396038,44761,3.0
1649020035.93712,44815,0.0
1649020124.0913348,44976,2.0
1649020144.033075,45014,2.0
1649020160.2868733,45045,2.0
1649020170.9798481,45065,2.0
1649020337.9021132,45385,3.0
1649020360.0274763,45427,2.0
1649020413.228006,45530,1.0
1649020435.9902823,45571,1.0
1649020441.5792031,45582,1.0
1649020460.5673018,45618,1.0
1649020533.1955717,45757,0.0
1649020558.2501242,45803,3.0
1649020641.6619585,45963,1.0
1649020647.7649736,45975,2.0
1649020661.279197,46001,2.0
1649020806.5303533,46274,1.0
1649020894.177483,46441,0.0
1649020920.874464,46492,3.0
1649020927.2834928,46504,3.0
1649020983.7222068,46610,1.0
1649021041.8596084,46722,1.0
1649021122.1224618,46874,1.0
1649021130.4065773,46890,1.0
1649021140.5684435,46910,1.0
1649021193.026625,47012,2.0
1649021195.9321342,47017,2.0
1649021203.5566084,47032,2.0
1649021205.4334543,47035,2.0
1649021211.1737187,47046,2.0
1649021219.8176832,47063,3.0
1649021221.8584847,47067,3.0
1649021230.1777675,47083,3.0
1649021237.8473234,47098,0.0
1649021244.9600527,47112,0.0
1649021265.386164,47152,0.0
1649021269.0109622,47159,0.0
1649021278.8886044,47178,0.0
1649021345.7642481,47304,2.0
1649021356.046654,47324,0.0
1649021368.6390975,47348,0.0
1649021426.2845235,47459,0.0
1649021474.1919215,47546,0.0
1649021507.6755025,47611,0.0
1649021515.1235952,47625,1.0
1649021594.700554,47777,2.0
1649021710.131431,47999,2.0
1649021775.53049,48121,1.0
1649021812.2910283,48189,0.0
1649021817.038101,48198,3.0
1649021844.609809,48247,0.0
1649021901.942644,48348,1.0
1649021923.115134,48385,2.0
1649021943.2225158,48424,1.0
1649021988.139387,48510,5.0
1649022054.8097937,48635,1.0
1649022058.1426325,48639,1.0
1649022089.371096,48694,1.0
1649022090.3864522,48696,1.0
1649022101.4458754,48717,2.0
1649022113.5193398,48740,3.0
1649022168.7242534,48843,3.0
1649022302.3236475,49093,0.0
1649022308.4837246,49105,0.0
1649022339.5906086,49165,2.0
1649022358.8574085,49201,3.0
1649022399.0916739,49268,3.0
1649022422.8801963,49314,1.0
1649022447.0326314,49361,1.0
1649022510.1742804,49483,0.0
1649022532.9822536,49527,0.0
1649022619.7441378,49691,1.0
1649022625.3629432,49702,1.0
1649022652.7768037,49752,0.0
1649022705.5452611,49853,0.0
1649022712.8387153,49864,4.0
1649022765.3104057,49961,2.0
1649022772.4234936,49975,2.0
1649022779.7381706,49989,4.0
1649022790.4124162,50010,4.0
1649022815.4343922,50059,2.0
1649022873.668493,50171,2.0
1649022922.0552135,50261,0.0
1649022955.2616525,50322,0.0
1649023008.1052017,50422,2.0
1649023017.253269,50440,2.0
1649023050.7494788,50505,1.0
1649023099.02269,50598,3.0
1649023102.8312898,50603,3.0
1649023110.4601429,50618,7.0
1649023121.2659512,50639,7.0
1649023150.9319665,50697,2.0
1649023163.9692132,50714,4.0
1649023189.7178924,50752,0.0
1649023194.5023332,50761,0.0
1649023195.5187669,50763,0.0
1649023224.9856136,50819,0.0
1649023265.6463718,50899,0.0
1649023316.5218232,50999,2.0
1649023332.2742195,51030,2.0
1649023366.4339867,51094,1.0
1649023564.170541,51468,2.0
1649023630.926562,51599,0.0
1649023631.4343758,51600,0.0
1649023733.6057966,51797,2.0
1649023802.9896533,51930,4.0
1649023806.0399196,51936,1.0
1649023813.197784,51950,0.0
1649023823.8699243,51971,0.0
1649023845.219196,52013,0.0
1649023961.0095239,52229,1.0
1649023978.2925057,52263,0.0
1649023997.7746804,52297,0.0
1649024029.6070695,52352,5.0
1649024035.7012997,52364,5.0
1649024046.9137979,52386,1.0
